,xco2_biascorrected,xco2_uncertainty
2013-06-11 11:01:13.924,395.87045,0.9951756
2013-06-11 11:01:18.528,396.9678,0.96584576
2013-06-12 10:04:28.070,394.3059,1.0205067
2013-06-12 10:04:32.685,394.15216,1.0176954
2013-06-12 10:04:37.289,393.24356,1.0322492
2013-06-12 10:08:23.162,396.10953,1.0311006
2013-06-12 10:08:27.767,393.84195,1.0318636
2013-06-12 10:08:32.381,394.01483,1.0336186
2013-06-12 10:09:46.135,394.07205,0.9591687
2013-06-12 10:09:50.739,394.7509,0.9726077
2013-06-12 10:09:55.354,395.2186,0.97450507
2013-06-13 10:25:59.184,395.01376,1.0428603
2013-06-13 10:26:03.798,395.85358,1.0469252
2013-06-13 10:26:08.403,397.20273,0.9205326
2013-06-13 10:26:13.016,397.58408,0.90859604
2013-06-13 10:26:17.622,397.4716,0.9103447
2013-06-13 10:27:17.551,398.29453,0.9513263
2013-06-13 10:27:22.156,398.49008,0.9482417
2013-06-13 10:27:31.375,401.60693,1.0770231
2013-06-13 10:27:35.989,401.60663,1.0941343
2013-06-13 10:27:40.594,401.67386,1.0608861
2013-06-13 10:36:44.520,395.49088,1.042712
2013-06-13 10:36:49.133,395.42294,1.0464914
2013-06-13 10:36:53.738,393.82962,0.9937838
2013-06-13 10:38:07.490,395.89685,1.0200499
2013-06-13 10:38:12.104,396.65308,1.0344541
2013-06-13 10:38:16.710,395.14432,1.0363874
2013-06-13 10:38:48.981,395.3435,1.0715834
2013-06-13 10:38:53.587,395.98746,1.0672183
2013-06-13 10:38:58.200,394.38248,1.0803568
2013-06-13 10:39:02.805,393.7196,0.9188213
2013-06-13 10:39:07.419,391.62988,0.92438096
2013-06-13 10:39:30.463,393.57806,0.944834
2013-06-13 10:40:25.777,393.34595,0.9604087
2013-06-13 10:40:30.391,393.18478,0.968885
2013-06-13 10:40:34.996,393.8743,0.9775845
2013-06-13 10:40:39.610,394.08325,0.87037295
2013-06-13 10:40:44.215,394.63773,0.88559794
2013-06-13 10:40:48.829,393.44498,0.89075637
2013-06-13 10:40:53.434,393.78677,0.9656586
2013-06-13 10:40:58.048,393.65704,0.9693873
2013-06-13 10:41:02.653,393.31158,0.9759454
2013-06-13 10:41:53.362,394.8922,1.022882
2013-06-13 10:42:02.582,396.03625,1.1134272
2013-06-13 10:42:11.801,395.71713,1.0247076
2013-06-13 10:42:39.458,393.91284,1.0316882
2013-06-13 10:43:11.720,393.06577,1.0571339
2013-06-13 10:43:16.334,392.8301,1.076949
2013-06-13 10:43:20.940,392.79654,1.0696473
2013-06-13 10:43:25.553,393.74014,1.0568676
2013-06-13 10:43:30.159,392.41907,1.0662055
2013-06-13 10:43:34.772,390.22668,1.0864528
2013-06-14 10:54:15.893,392.81827,0.96417797
2013-06-14 10:54:20.505,392.3361,0.9578087
2013-06-14 10:54:25.112,392.3808,0.95102054
2013-06-14 10:54:29.725,391.8268,1.0603698
